epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6327,0.93488,2.27388,1.1593,0.94648,0.61905,0.63025,0.5451,0.56906,0.77414,0.89358,0.000367814,0.000367814,0.000367814
2,74.4221,0.63875,0.70061,0.92656,0.97541,0.98477,0.99288,0.8604,0.50878,0.57856,0.85969,0.000665071,0.000665071,0.000665071
3,98.2049,0.56342,0.56872,0.89227,0.97005,0.9825,0.98894,0.86031,0.49218,0.53718,0.86262,0.000889002,0.000889002,0.000889002
4,121.859,0.50735,0.51582,0.86287,0.96912,0.98413,0.99085,0.86107,0.48598,0.54034,0.85788,0.000781033,0.000781033,0.000781033
5,157.772,0.49869,0.48619,0.85378,0.98756,0.98413,0.99333,0.79796,0.64022,0.52858,0.90146,0.000671044,0.000671044,0.000671044
6,185.156,0.45685,0.45168,0.83857,0.96926,0.98413,0.99384,0.79724,0.66679,0.51551,0.90706,0.000561055,0.000561055,0.000561055
7,212.918,0.40373,0.41037,0.82485,0.99161,0.97751,0.99439,0.85346,0.5052,0.45197,0.86915,0.000451066,0.000451066,0.000451066
8,238.262,0.34494,0.3788,0.8102,0.97257,0.98469,0.99364,0.83794,0.60323,0.47359,0.88336,0.000341077,0.000341077,0.000341077
9,262.848,0.32546,0.35927,0.80413,0.97236,0.98565,0.99364,0.84437,0.57704,0.44897,0.89496,0.000231088,0.000231088,0.000231088
10,289.145,0.29184,0.34105,0.79735,0.97256,0.98573,0.99364,0.83178,0.60034,0.43363,0.8969,0.000121099,0.000121099,0.000121099
