epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7817,1.66921,2.92677,1.51502,0.60213,0.7451,0.72411,0.44261,1.42066,2.47481,1.16537,0.000656085,0.000656085,0.000656085
2,41.4251,1.45874,1.8319,1.25908,0.58299,0.85663,0.68332,0.3953,1.38619,1.15158,1.17756,0.0011918,0.0011918,0.0011918
3,55.9827,1.39794,1.38664,1.21342,0.59799,0.84314,0.64425,0.39152,1.3878,1.43186,1.14975,0.00159551,0.00159551,0.00159551
4,70.2041,1.35645,1.19174,1.18235,0.84255,0.91809,0.92159,0.55857,1.30749,1.04453,1.15262,0.001406,0.001406,0.001406
5,84.5729,1.24715,1.04183,1.14867,0.87807,0.88252,0.93835,0.55997,1.40543,0.90173,1.1726,0.001208,0.001208,0.001208
6,98.3505,1.18079,0.94395,1.11564,0.91352,0.91667,0.95439,0.64075,1.15118,0.78315,1.09879,0.00101,0.00101,0.00101
7,112.604,1.13766,0.87343,1.10287,0.94011,0.92339,0.97083,0.63348,1.26702,0.7844,1.11629,0.000812,0.000812,0.000812
8,127.579,1.07872,0.82733,1.07965,0.94685,0.92157,0.97388,0.6496,1.17094,0.75459,1.08278,0.000614,0.000614,0.000614
9,142.053,1.03912,0.79075,1.06158,0.94077,0.91667,0.97041,0.63279,1.21789,0.77586,1.09943,0.000416,0.000416,0.000416
10,156.483,0.99539,0.76762,1.04109,0.94539,0.93353,0.97152,0.66521,1.11537,0.76094,1.05735,0.000218,0.000218,0.000218
