                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76046,                 1.8217,                 1.0816,                0.67549,                0.65863,                0.68288,                0.50301,                0.91132,                 2.4261,                 1.1469,             0.00036984,             0.00036984,             0.00036984
                      2,                0.65158,                 1.1251,                 1.0671,                0.66374,                 0.8789,                0.93163,                0.68607,                 1.0199,                 1.9123,                 1.2057,             0.00073284,             0.00073284,             0.00073284
                      3,                0.68533,                0.96859,                 1.1216,                0.73776,                0.81603,                0.88295,                0.70711,                0.77253,                 1.8935,                 1.0393,              0.0010885,              0.0010885,              0.0010885
                      4,                0.59522,                0.81367,                 1.0643,                0.93109,                0.80649,                0.95768,                0.77169,                0.81175,                0.82609,                 1.0607,               0.001078,               0.001078,               0.001078
                      5,                0.56088,                0.67465,                 1.0329,                0.94576,                0.86312,                0.95502,                 0.7515,                 0.8195,                0.79372,                 1.0464,               0.001067,               0.001067,               0.001067
                      6,                0.50953,                0.56832,                 1.0054,                0.95629,                0.96105,                0.99318,                0.80824,                0.75617,                0.61506,                 1.0355,               0.001056,               0.001056,               0.001056
                      7,                 0.5005,                0.52011,                0.99335,                 0.9437,                0.90028,                0.97798,                0.80457,                0.75045,                0.67783,                 1.0563,               0.001045,               0.001045,               0.001045
                      8,                0.47839,                0.47232,                 1.0082,                0.86832,                0.96914,                0.98053,                0.81287,                0.66132,                0.63475,                0.96984,               0.001034,               0.001034,               0.001034
                      9,                   0.44,                0.46047,                0.97108,                0.89954,                0.92542,                0.96214,                 0.7917,                 0.7285,                0.66636,                 1.0152,               0.001023,               0.001023,               0.001023
                     10,                0.44421,                0.45148,                0.95607,                0.85837,                0.92377,                 0.9733,                0.79388,                0.73982,                0.74304,                 1.0023,               0.001012,               0.001012,               0.001012
                     11,                0.43312,                0.45502,                0.95639,                0.88934,                0.95049,                 0.9763,                 0.8299,                0.68729,                0.63526,                0.96391,               0.001001,               0.001001,               0.001001
                     12,                 0.3934,                0.40556,                0.95201,                  0.887,                0.92964,                0.97093,                0.81022,                0.70169,                 0.6463,                 1.0002,             0.00099001,             0.00099001,             0.00099001
                     13,                0.37079,                0.38889,                0.92391,                0.97782,                0.91074,                0.98538,                0.84344,                0.64237,                0.46636,                0.94812,             0.00097901,             0.00097901,             0.00097901
                     14,                0.36856,                0.35945,                0.92989,                0.96619,                0.94651,                0.98433,                0.85143,                0.60992,                0.46342,                0.95937,             0.00096801,             0.00096801,             0.00096801
                     15,                0.35562,                0.39069,                0.92199,                0.91692,                 0.9645,                  0.991,                0.85643,                0.63296,                0.58983,                0.94488,             0.00095702,             0.00095702,             0.00095702
                     16,                0.37644,                0.35218,                0.93414,                 0.9358,                0.90789,                 0.9571,                0.80938,                0.68406,                0.61114,                 0.9952,             0.00094602,             0.00094602,             0.00094602
                     17,                0.33033,                0.38539,                0.92289,                0.95311,                0.95262,                0.99167,                0.83236,                0.66325,                0.49372,                0.95571,             0.00093502,             0.00093502,             0.00093502
                     18,                0.32351,                0.33587,                0.90805,                0.92983,                0.86929,                0.98385,                0.85586,                0.60964,                0.58117,                 0.9378,             0.00092402,             0.00092402,             0.00092402
                     19,                0.31318,                0.34996,                 0.8882,                0.95605,                0.95313,                0.97985,                0.81783,                0.69723,                0.51902,                0.97372,             0.00091302,             0.00091302,             0.00091302
                     20,                0.32962,                  0.323,                0.90636,                0.92936,                0.94376,                0.98818,                0.84113,                0.65876,                0.53142,                0.99748,             0.00090202,             0.00090202,             0.00090202
                     21,                0.29148,                0.31095,                0.89089,                0.98159,                0.92592,                0.98181,                0.85958,                0.62058,                 0.4406,                0.95171,             0.00089102,             0.00089102,             0.00089102
                     22,                0.27991,                0.29104,                0.89391,                0.90555,                0.92866,                0.97413,                 0.8112,                0.65601,                0.58878,                0.97903,             0.00088002,             0.00088002,             0.00088002
                     23,                0.26694,                0.28366,                0.88067,                0.98026,                0.91221,                0.97318,                0.82737,                0.63204,                0.43948,                0.96151,             0.00086902,             0.00086902,             0.00086902
                     24,                0.26503,                0.28442,                0.88896,                0.91417,                0.96849,                0.98878,                0.84281,                0.63651,                0.48103,                0.97526,             0.00085803,             0.00085803,             0.00085803
                     25,                0.27304,                0.28788,                0.87975,                0.94218,                0.87646,                0.98405,                0.84363,                0.64162,                0.51422,                 0.9666,             0.00084703,             0.00084703,             0.00084703
                     26,                0.24701,                0.26726,                 0.8629,                0.92584,                0.91778,                0.97379,                0.83059,                0.61927,                0.47417,                0.96826,             0.00083603,             0.00083603,             0.00083603
