                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65678,                0.77788,                0.99391,                0.95307,                0.99935,                      1,                  0.995,                0.89071,                0.99935,                      1,                  0.995,                0.90175,                0.49194,                 0.4277,                0.50315,                0.85042,             0.00066592,             0.00066592,             0.00066592
                      2,                0.50734,                0.48037,                0.52772,                 0.8656,                0.98805,                      1,                0.99311,                0.88918,                0.98805,                      1,                0.99311,                0.88495,                0.43644,                0.43389,                0.42254,                0.82885,              0.0013194,              0.0013194,              0.0013194
                      3,                0.45823,                0.46735,                0.42311,                 0.8502,                0.99903,                      1,                  0.995,                 0.9224,                0.99903,                      1,                  0.995,                0.91941,                0.42014,                0.40417,                0.39351,                0.81733,              0.0019597,              0.0019597,              0.0019597
                      4,                0.45019,                0.41451,                0.37436,                0.85066,                0.96656,                      1,                  0.993,                0.91995,                0.96656,                      1,                  0.993,                0.91189,                0.39908,                0.38983,                 0.3548,                0.81647,              0.0019406,              0.0019406,              0.0019406
                      5,                0.39663,                0.36702,                0.33392,                0.83222,                0.98588,                      1,                0.99467,                0.91674,                0.98588,                      1,                0.99467,                0.91675,                0.38847,                0.46757,                0.34543,                0.81733,              0.0019208,              0.0019208,              0.0019208
                      6,                0.39726,                0.44528,                0.32346,                0.82991,                0.99823,                      1,                  0.995,                0.93341,                0.99823,                      1,                  0.995,                0.92475,                0.36473,                 0.5616,                0.32142,                0.81277,               0.001901,               0.001901,               0.001901
                      7,                0.38696,                0.36436,                0.31442,                0.82534,                0.99879,                      1,                  0.995,                0.92289,                0.99879,                      1,                  0.995,                0.93566,                0.37688,                0.37785,                0.32537,                0.81475,              0.0018812,              0.0018812,              0.0018812
                      8,                0.38281,                0.32719,                0.29822,                0.82474,                0.99921,                      1,                  0.995,                0.95498,                0.99921,                      1,                  0.995,                0.92447,                0.33083,                0.50098,                0.29964,                0.80486,              0.0018614,              0.0018614,              0.0018614
                      9,                0.31872,                0.32992,                0.26018,                0.80597,                0.98838,                      1,                  0.995,                0.94947,                0.98838,                      1,                  0.995,                0.93428,                0.36418,                0.34075,                0.30679,                0.80566,              0.0018416,              0.0018416,              0.0018416
                     10,                0.29251,                0.29574,                0.23961,                0.79923,                0.98715,                      1,                  0.995,                0.97319,                0.98715,                      1,                  0.995,                0.94308,                0.30217,                 0.4067,                 0.2775,                0.79003,              0.0018218,              0.0018218,              0.0018218
                     11,                0.29833,                0.27909,                0.24001,                0.79918,                0.99906,                      1,                  0.995,                0.95614,                0.99906,                      1,                  0.995,                0.93396,                0.29385,                0.34238,                0.27186,                0.78704,               0.001802,               0.001802,               0.001802
                     12,                0.27773,                0.29403,                0.22319,                0.79439,                0.98287,                      1,                  0.995,                0.96605,                0.98287,                      1,                  0.995,                0.93791,                0.29281,                0.38502,                 0.2713,                   0.79,              0.0017822,              0.0017822,              0.0017822
                     13,                0.25045,                0.28455,                0.21032,                0.79004,                0.99881,                      1,                  0.995,                0.97819,                0.99881,                      1,                  0.995,                0.94547,                0.26953,                 0.3838,                0.25529,                0.78537,              0.0017624,              0.0017624,              0.0017624
                     14,                0.25243,                0.22442,                0.20755,                0.78955,                0.97717,                      1,                0.99024,                0.96302,                0.97717,                      1,                0.99024,                0.94418,                0.26734,                0.42318,                0.24251,                0.78586,              0.0017426,              0.0017426,              0.0017426
                     15,                0.22687,                0.20914,                0.19256,                0.78561,                0.99929,                      1,                  0.995,                0.97308,                0.99929,                      1,                  0.995,                0.95812,                0.25933,                0.36025,                0.22871,                  0.787,              0.0017228,              0.0017228,              0.0017228
                     16,                0.24106,                0.21585,                0.19863,                0.78826,                0.98557,                      1,                0.99478,                0.96643,                0.98557,                      1,                0.99478,                0.92663,                0.28153,                0.47073,                0.25759,                 0.7918,               0.001703,               0.001703,               0.001703
                     17,                0.23496,                0.23464,                 0.1968,                0.78734,                 0.9983,                      1,                  0.995,                0.97521,                 0.9983,                      1,                  0.995,                0.94696,                 0.2788,                0.29127,                0.24436,                0.78433,              0.0016832,              0.0016832,              0.0016832
                     18,                0.22891,                0.19269,                0.19322,                0.78541,                0.99471,                      1,                  0.995,                0.97542,                0.99471,                      1,                  0.995,                0.96374,                0.25717,                0.34716,                0.25197,                0.78026,              0.0016634,              0.0016634,              0.0016634
                     19,                0.19984,                0.17084,                0.17641,                 0.7803,                0.98654,                      1,                0.99422,                0.97803,                0.98654,                      1,                0.99422,                0.95089,                0.24291,                0.33201,                0.23462,                0.77786,              0.0016436,              0.0016436,              0.0016436
                     20,                0.21025,                 0.2157,                0.17796,                0.78072,                0.99913,                      1,                  0.995,                0.97031,                0.99913,                      1,                  0.995,                 0.9506,                0.27326,                0.29699,                0.22867,                0.78336,              0.0016238,              0.0016238,              0.0016238
                     21,                0.23176,                0.17776,                0.19142,                0.78469,                0.98325,                      1,                0.99444,                0.96853,                0.98325,                      1,                0.99444,                0.95814,                0.32054,                0.38122,                0.27145,                0.79323,               0.001604,               0.001604,               0.001604
                     22,                0.22436,                0.17418,                0.18518,                0.78575,                0.99594,                      1,                  0.995,                0.97927,                0.99594,                      1,                  0.995,                0.96109,                0.26653,                0.29624,                0.23193,                0.78353,              0.0015842,              0.0015842,              0.0015842
                     23,                0.19505,                0.15985,                 0.1709,                0.77907,                0.97798,                      1,                  0.995,                0.97954,                0.97798,                      1,                  0.995,                0.95826,                0.25826,                0.42798,                0.21701,                 0.7846,              0.0015644,              0.0015644,              0.0015644
                     24,                0.19085,                0.15562,                0.16722,                0.77798,                0.99834,                      1,                  0.995,                0.97272,                0.99834,                      1,                  0.995,                0.95591,                0.24759,                0.42777,                0.23301,                0.77833,              0.0015446,              0.0015446,              0.0015446
                     25,                0.18666,                0.16644,                 0.1609,                0.77727,                0.99927,                      1,                  0.995,                0.97036,                0.99927,                      1,                  0.995,                0.95137,                0.27136,                0.32623,                0.24082,                0.78269,              0.0015248,              0.0015248,              0.0015248
                     26,                 0.1874,                0.15598,                0.15859,                0.77731,                0.99775,                      1,                  0.995,                 0.9795,                0.99775,                      1,                  0.995,                0.97456,                0.25727,                0.38131,                0.22478,                0.77937,               0.001505,               0.001505,               0.001505
                     27,                0.18375,                0.15149,                0.15659,                0.77666,                0.99843,                      1,                  0.995,                0.97509,                0.99843,                      1,                  0.995,                0.95515,                0.25795,                0.37202,                 0.2287,                0.77769,              0.0014852,              0.0014852,              0.0014852
                     28,                0.17488,                0.14888,                0.15397,                0.77592,                0.99257,                      1,                  0.995,                 0.9852,                0.99257,                      1,                  0.995,                0.95489,                0.22947,                0.27918,                0.21321,                0.77118,              0.0014654,              0.0014654,              0.0014654
                     29,                0.18555,                0.17575,                 0.1604,                0.77633,                0.98779,                      1,                  0.995,                0.97724,                0.98779,                      1,                  0.995,                0.95137,                0.26669,                  0.437,                0.23056,                0.77552,              0.0014456,              0.0014456,              0.0014456
                     30,                0.17863,                0.20962,                0.15459,                0.77585,                0.99238,                      1,                  0.995,                0.98093,                0.99238,                      1,                  0.995,                0.95744,                0.26008,                0.33712,                 0.2313,                0.78062,              0.0014258,              0.0014258,              0.0014258
                     31,                0.17947,                0.17468,                0.15745,                0.77577,                0.99491,                      1,                  0.995,                0.97988,                0.99491,                      1,                  0.995,                0.94836,                0.26388,                0.46637,                0.24691,                0.78017,               0.001406,               0.001406,               0.001406
                     32,                0.16068,                0.13981,                0.14403,                0.77329,                0.98873,                      1,                  0.995,                0.98152,                0.98873,                      1,                  0.995,                0.94696,                0.23899,                0.44205,                0.22536,                0.77771,              0.0013862,              0.0013862,              0.0013862
                     33,                0.15444,                0.13072,                0.13957,                0.77239,                0.99683,                      1,                  0.995,                0.98802,                0.99683,                      1,                  0.995,                0.94745,                0.23018,                0.34863,                0.21926,                0.77532,              0.0013664,              0.0013664,              0.0013664
                     34,                0.15954,                0.11381,                0.14087,                0.77269,                0.99284,                      1,                  0.995,                0.97577,                0.99284,                      1,                  0.995,                0.95466,                0.28247,                0.42535,                0.23574,                0.78176,              0.0013466,              0.0013466,              0.0013466
                     35,                0.16489,                0.13662,                0.14644,                0.77384,                0.99463,                      1,                  0.995,                0.97087,                0.99463,                      1,                  0.995,                0.95559,                0.27363,                 0.3313,                 0.2461,                0.78206,              0.0013268,              0.0013268,              0.0013268
                     36,                0.17205,                0.11629,                0.15366,                0.77429,                0.99871,                      1,                  0.995,                0.97595,                0.99871,                      1,                  0.995,                0.96334,                0.25777,                0.44033,                0.21138,                 0.7786,               0.001307,               0.001307,               0.001307
                     37,                0.16613,                0.12344,                0.14767,                0.77311,                0.99904,                      1,                  0.995,                0.98534,                0.99904,                      1,                  0.995,                0.96098,                0.25656,                0.34962,                0.21393,                0.77374,              0.0012872,              0.0012872,              0.0012872
                     38,                0.14946,                0.10083,                0.13492,                 0.7712,                0.99873,                      1,                  0.995,                0.97984,                0.99873,                      1,                  0.995,                0.96758,                0.28398,                0.32079,                0.22581,                0.77817,              0.0012674,              0.0012674,              0.0012674
                     39,                0.14337,                0.08143,                0.13147,                0.77077,                0.99936,                      1,                  0.995,                0.98039,                0.99936,                      1,                  0.995,                0.96615,                0.24261,                0.33056,                0.20657,                0.77194,              0.0012476,              0.0012476,              0.0012476
                     40,                0.14721,                0.07447,                0.13435,                0.77079,                0.99908,                      1,                  0.995,                0.98288,                0.99908,                      1,                  0.995,                0.96038,                0.23365,                0.36518,                 0.2072,                0.77755,              0.0012278,              0.0012278,              0.0012278
                     41,                0.13702,                0.06477,                0.12663,                0.77023,                 0.9892,                      1,                  0.995,                0.97847,                 0.9892,                      1,                  0.995,                0.96219,                0.22681,                 0.5348,                0.21806,                0.77378,               0.001208,               0.001208,               0.001208
                     42,                0.12825,                0.06431,                0.12152,                0.76911,                0.98935,                      1,                  0.995,                0.98202,                0.98935,                      1,                  0.995,                0.96416,                0.24591,                0.44293,                0.23006,                0.77658,              0.0011882,              0.0011882,              0.0011882
                     43,                0.14137,                0.07108,                0.12898,                0.77041,                0.97799,                      1,                  0.995,                0.98288,                0.97799,                      1,                  0.995,                0.96766,                0.24426,                0.47083,                0.21334,                0.77399,              0.0011684,              0.0011684,              0.0011684
                     44,                0.14289,                0.07054,                 0.1318,                0.77039,                0.99738,                      1,                  0.995,                0.98914,                0.99738,                      1,                  0.995,                0.97773,                0.23798,                0.22014,                0.20658,                0.77495,              0.0011486,              0.0011486,              0.0011486
                     45,                0.13948,                0.06076,                0.12977,                0.76927,                0.99826,                      1,                  0.995,                0.97287,                0.99826,                      1,                  0.995,                0.97613,                0.23609,                0.31777,                0.21931,                0.77291,              0.0011288,              0.0011288,              0.0011288
                     46,                0.13161,                0.05332,                0.12322,                0.76959,                  0.999,                      1,                  0.995,                0.98031,                  0.999,                      1,                  0.995,                0.96581,                0.23955,                 0.3676,                0.21546,                0.77511,               0.001109,               0.001109,               0.001109
                     47,                 0.1225,                0.04733,                0.11585,                0.76851,                0.98786,                      1,                0.99489,                 0.9887,                0.98786,                      1,                0.99489,                0.96653,                0.22754,                0.44533,                0.20304,                0.77204,              0.0010892,              0.0010892,              0.0010892
