                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8163,                 4.2498,                 1.8764,                0.00227,                0.08792,                0.00718,                0.00113,                 1.8152,                 4.1116,                 1.9002,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                 1.8599,                 4.3095,                 1.7579,                0.00258,                0.10578,                0.00405,                0.00148,                 1.5277,                 4.0329,                   1.66,             8.5768e-05,             8.5768e-05,             8.5768e-05
                      3,                 1.4185,                 3.9328,                 1.4812,                0.00416,                0.14455,                0.03688,                0.02322,                 1.2755,                  3.824,                 1.3116,             0.00013205,             0.00013205,             0.00013205
                      4,                 1.2622,                 3.5827,                 1.2175,                0.00892,                0.28628,                 0.0952,                 0.0607,                 1.1846,                 3.6961,                 1.1954,             0.00017636,             0.00017636,             0.00017636
                      5,                 1.2428,                 3.0447,                  1.169,                0.01702,                0.51594,                0.15225,                0.10115,                 1.2434,                 3.5667,                 1.1804,             0.00021869,             0.00021869,             0.00021869
                      6,                 1.2738,                 2.8125,                 1.1783,                0.02083,                0.65941,                0.23604,                0.14327,                 1.2937,                 3.3476,                 1.1753,             0.00025904,             0.00025904,             0.00025904
                      7,                 1.2267,                 2.5168,                 1.1284,                 0.0229,                0.74116,                0.28497,                0.17521,                 1.3206,                 3.1677,                 1.1655,              0.0002974,              0.0002974,              0.0002974
                      8,                 1.2036,                 2.1414,                  1.137,                0.02357,                0.74369,                0.31535,                0.20039,                 1.3126,                 3.0939,                 1.1413,             0.00033379,             0.00033379,             0.00033379
                      9,                 1.2435,                 1.9451,                 1.1055,                0.02581,                0.75505,                0.35563,                  0.228,                  1.294,                 3.0304,                  1.146,              0.0003682,              0.0003682,              0.0003682
                     10,                 1.2754,                 2.1029,                 1.1699,                0.41606,                0.52691,                0.41354,                0.26938,                 1.2769,                 2.9386,                 1.1434,             0.00040063,             0.00040063,             0.00040063
