                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6046,                 3.3003,                 1.5559,                0.31656,                0.65459,                 0.4562,                0.27605,                 1.2013,                 7.8692,                 1.3071,             0.00014443,             0.00014443,             0.00014443
                      2,                 1.1892,                 1.4068,                  1.288,                0.38002,                 0.5464,                0.31908,                0.20998,                 1.1598,                    inf,                 1.3422,             0.00029799,             0.00029799,             0.00029799
                      3,                 1.2072,                 1.1222,                 1.3219,                0.22685,                0.05085,                0.01327,                 0.0107,                 1.3825,                    inf,                 1.8022,              0.0004495,              0.0004495,              0.0004495
                      4,                 1.2237,                0.93887,                 1.3377,                0.00034,                0.01333,                0.00018,                  7e-05,                 2.1644,                    inf,                 2.8599,             0.00059895,             0.00059895,             0.00059895
                      5,                 1.1372,                0.85849,                 1.2695,                0.00034,                0.01333,                0.00018,                  7e-05,                 3.3487,                    inf,                 10.573,             0.00074635,             0.00074635,             0.00074635
                      6,                 1.1327,                0.88553,                   1.31,                0.00034,                0.01333,                0.00018,                  7e-05,                  4.192,                 59.289,                 4.4508,              0.0008917,              0.0008917,              0.0008917
                      7,                 1.1872,                0.86009,                 1.3128,                0.16998,                0.29076,                0.13859,                0.10478,                 1.9385,                 23.537,                 2.2216,               0.001035,               0.001035,               0.001035
                      8,                 1.1446,                0.79071,                 1.3154,                0.55854,                0.50603,                0.59854,                0.40632,                 1.2356,                 1.5221,                  1.542,              0.0010597,              0.0010597,              0.0010597
                      9,                 1.0934,                 0.7879,                 1.2737,                0.40261,                0.12107,                0.11775,                0.08345,                 2.0277,                 5.2931,                 2.2866,              0.0010523,              0.0010523,              0.0010523
                     10,                 1.0924,                0.74501,                 1.2285,                0.33316,                0.29115,                0.21869,                 0.1441,                 1.8926,                 4.5812,                 2.2326,               0.001045,               0.001045,               0.001045
                     11,                 1.1045,                 0.7651,                 1.2918,                0.58984,                0.34436,                0.38089,                0.24918,                 1.4854,                 2.3372,                 1.7783,              0.0010377,              0.0010377,              0.0010377
                     12,                 1.0875,                0.67215,                 1.2279,                0.78827,                0.71022,                0.78552,                0.51164,                 1.2243,                 1.1339,                 1.5388,              0.0010303,              0.0010303,              0.0010303
                     13,                 1.0527,                0.67329,                 1.2433,                0.79652,                0.77631,                0.78611,                0.41586,                 1.6272,                 1.1629,                 1.8483,               0.001023,               0.001023,               0.001023
                     14,                 1.1044,                0.66025,                 1.2302,                0.60859,                0.29612,                0.31233,                0.17377,                 2.1459,                 3.4521,                 2.4068,              0.0010157,              0.0010157,              0.0010157
                     15,                 1.0893,                0.66685,                 1.2226,                0.77973,                0.75407,                0.76825,                0.51156,                 1.2447,                 1.2318,                 1.5621,              0.0010083,              0.0010083,              0.0010083
                     16,                0.98462,                 0.6078,                 1.1791,                0.86666,                0.61537,                0.71987,                 0.4693,                 1.4143,                 1.6897,                 1.6095,               0.001001,               0.001001,               0.001001
                     17,                 1.0682,                0.61065,                 1.2098,                0.83248,                0.64105,                0.76628,                0.52251,                 1.1429,                 1.3604,                 1.4667,             0.00099368,             0.00099368,             0.00099368
                     18,                 1.0544,                 0.6364,                 1.2097,                0.87241,                0.75743,                0.86704,                0.59397,                 1.1461,                0.85868,                  1.467,             0.00098635,             0.00098635,             0.00098635
                     19,                 0.9995,                0.58118,                 1.1689,                0.78885,                0.74837,                0.82096,                0.57062,                 1.1434,                0.85176,                 1.4974,             0.00097901,             0.00097901,             0.00097901
                     20,                0.97945,                0.55255,                 1.1672,                0.83925,                0.77417,                0.85739,                0.57009,                  1.148,                0.83484,                 1.5241,             0.00097168,             0.00097168,             0.00097168
                     21,                0.99552,                0.55464,                 1.1854,                0.67841,                0.74585,                0.79818,                0.53828,                  1.151,                 1.2026,                 1.5199,             0.00096435,             0.00096435,             0.00096435
                     22,                0.98782,                0.57092,                 1.1859,                0.63567,                0.48297,                0.55626,                0.36072,                 1.5015,                 1.9637,                 1.7405,             0.00095702,             0.00095702,             0.00095702
                     23,                0.93603,                0.55207,                  1.209,                   0.75,                0.72227,                0.77086,                0.49011,                 1.2685,                 1.1476,                 1.6359,             0.00094968,             0.00094968,             0.00094968
                     24,                0.96262,                0.59329,                 1.1899,                 0.8328,                0.84727,                0.88982,                0.60177,                 1.1832,                0.76241,                  1.511,             0.00094235,             0.00094235,             0.00094235
                     25,                 1.0002,                0.54602,                 1.1772,                0.89809,                0.82279,                  0.893,                0.61162,                 1.1463,                0.67798,                 1.4731,             0.00093502,             0.00093502,             0.00093502
                     26,                0.93217,                0.53451,                 1.1307,                0.78748,                0.72097,                0.80483,                0.56745,                  1.046,                0.87422,                 1.3975,             0.00092769,             0.00092769,             0.00092769
                     27,                0.96768,                0.54455,                  1.216,                0.82046,                 0.7599,                  0.842,                0.59752,                 1.0954,                 1.0221,                 1.4504,             0.00092035,             0.00092035,             0.00092035
                     28,                0.96101,                0.55045,                 1.1566,                0.87137,                0.86141,                0.86107,                0.59952,                 1.1111,                 0.8078,                 1.4449,             0.00091302,             0.00091302,             0.00091302
                     29,                0.90286,                0.50285,                  1.132,                0.88146,                0.87713,                0.89209,                0.64274,                 1.0419,                0.74063,                    1.4,             0.00090569,             0.00090569,             0.00090569
                     30,                0.91307,                0.49903,                 1.1398,                0.80765,                 0.8173,                0.87745,                0.61457,                 1.1306,                0.77582,                 1.4559,             0.00089835,             0.00089835,             0.00089835
                     31,                0.94014,                0.52737,                 1.1745,                 0.8413,                0.80456,                0.88032,                0.65422,                 1.0191,                0.80416,                 1.3832,             0.00089102,             0.00089102,             0.00089102
                     32,                0.88671,                0.49943,                 1.1238,                0.88758,                0.83703,                0.85593,                0.61215,                 1.1001,                0.71305,                 1.4527,             0.00088369,             0.00088369,             0.00088369
                     33,                0.89106,                0.49306,                 1.1143,                0.87114,                0.83407,                0.84374,                0.58209,                 1.1814,                0.86839,                 1.5169,             0.00087636,             0.00087636,             0.00087636
                     34,                0.89095,                 0.4789,                 1.1303,                0.84055,                0.81743,                0.82023,                0.60634,                 1.0809,                0.83779,                 1.4448,             0.00086902,             0.00086902,             0.00086902
                     35,                0.87759,                 0.4645,                 1.1309,                0.80486,                 0.8324,                0.83111,                0.62322,                 1.0285,                0.79452,                 1.3799,             0.00086169,             0.00086169,             0.00086169
                     36,                0.88876,                0.46712,                 1.1116,                 0.8406,                0.82534,                0.85706,                0.57965,                  1.128,                0.73631,                   1.47,             0.00085436,             0.00085436,             0.00085436
                     37,                0.84613,                0.48141,                 1.1563,                0.84474,                0.82423,                0.85809,                0.63317,                 1.0336,                0.77397,                 1.3915,             0.00084703,             0.00084703,             0.00084703
                     38,                0.85258,                0.45198,                 1.1118,                0.87105,                0.82969,                0.87525,                0.62864,                 1.0897,                0.80641,                 1.4621,             0.00083969,             0.00083969,             0.00083969
                     39,                0.84797,                0.45589,                 1.0917,                0.87589,                0.82123,                  0.822,                0.53454,                  1.282,                0.79388,                 1.6663,             0.00083236,             0.00083236,             0.00083236
                     40,                0.85156,                0.46716,                 1.1503,                 0.9026,                 0.8052,                0.84024,                0.61587,                 1.0523,                0.80905,                 1.4222,             0.00082503,             0.00082503,             0.00082503
                     41,                0.79171,                0.42837,                 1.0618,                 0.8976,                0.82244,                0.86604,                 0.6246,                 1.0536,                0.79421,                 1.4189,              0.0008177,              0.0008177,              0.0008177
                     42,                0.79611,                 0.4349,                 1.0767,                 0.8976,                0.83486,                0.82254,                0.59197,                 1.0484,                0.87871,                 1.3945,             0.00081036,             0.00081036,             0.00081036
                     43,                 0.7952,                0.43433,                  1.061,                0.85576,                0.84837,                0.82793,                0.59751,                 1.0419,                0.79053,                 1.4205,             0.00080303,             0.00080303,             0.00080303
                     44,                 0.7969,                0.45573,                 1.0762,                0.87689,                0.84046,                0.86777,                0.62521,                0.99839,                0.72093,                 1.4075,              0.0007957,              0.0007957,              0.0007957
                     45,                0.77102,                0.42763,                 1.0678,                 0.8896,                0.84048,                0.89088,                0.65088,                  1.048,                0.66492,                 1.4281,             0.00078837,             0.00078837,             0.00078837
                     46,                0.82638,                0.44808,                 1.1064,                0.87455,                0.83477,                0.88742,                0.63248,                 1.1022,                0.72604,                 1.4416,             0.00078103,             0.00078103,             0.00078103
                     47,                0.82505,                0.45595,                 1.1094,                0.90447,                0.82196,                0.88157,                0.62201,                 1.1087,                0.74229,                 1.4474,              0.0007737,              0.0007737,              0.0007737
                     48,                0.80097,                0.42374,                 1.0752,                0.92357,                0.81211,                0.89777,                0.66325,                 1.0288,                0.64847,                 1.3983,             0.00076637,             0.00076637,             0.00076637
                     49,                0.78945,                0.41578,                 1.0607,                0.80278,                0.85879,                0.87005,                0.64081,                 1.0775,                0.80158,                 1.4186,             0.00075904,             0.00075904,             0.00075904
                     50,                0.77724,                0.41138,                  1.056,                0.92015,                0.84799,                0.89783,                0.67514,                0.98061,                  0.706,                  1.345,              0.0007517,              0.0007517,              0.0007517
                     51,                0.75722,                 0.3822,                 1.0338,                  0.906,                0.78391,                0.87664,                0.61403,                 1.1099,                0.79185,                 1.4836,             0.00074437,             0.00074437,             0.00074437
                     52,                0.75157,                0.40305,                 1.0463,                0.81546,                0.84037,                0.90131,                0.67768,                 1.0064,                0.76706,                 1.3774,             0.00073704,             0.00073704,             0.00073704
                     53,                0.76018,                0.39255,                 1.0369,                0.93748,                0.83767,                0.91402,                0.65117,                 1.0368,                 0.6229,                 1.4218,              0.0007297,              0.0007297,              0.0007297
                     54,                0.77021,                0.40478,                 1.0281,                 0.8448,                0.73873,                0.75474,                 0.5552,                 1.0329,                   1.03,                 1.4005,             0.00072237,             0.00072237,             0.00072237
                     55,                0.75265,                0.44867,                 1.0629,                0.90542,                0.84454,                0.89687,                0.64632,                 1.0389,                 0.7117,                 1.4105,             0.00071504,             0.00071504,             0.00071504
                     56,                0.75658,                0.39143,                  1.049,                0.92807,                0.82257,                0.87317,                0.62674,                 1.0438,                0.70959,                 1.4385,             0.00070771,             0.00070771,             0.00070771
                     57,                 0.7499,                0.38694,                 1.0348,                0.90189,                0.81347,                0.88618,                0.65329,                 1.0149,                 0.6959,                 1.4136,             0.00070037,             0.00070037,             0.00070037
                     58,                0.73312,                0.37185,                 1.0237,                0.88399,                0.83789,                0.88983,                0.66264,                0.99935,                0.67838,                 1.3978,             0.00069304,             0.00069304,             0.00069304
                     59,                 0.7053,                0.36383,                 1.0034,                0.88889,                0.79567,                0.86445,                0.67414,                0.95779,                 0.7612,                 1.3347,             0.00068571,             0.00068571,             0.00068571
                     60,                0.68741,                0.35867,                 1.0225,                0.87189,                0.84049,                0.85907,                0.64201,                 1.0435,                0.74096,                 1.4386,             0.00067838,             0.00067838,             0.00067838
                     61,                0.71085,                0.36582,                  1.027,                0.87715,                0.84877,                0.85694,                0.62932,                 1.0527,                0.75123,                 1.4704,             0.00067104,             0.00067104,             0.00067104
                     62,                0.69346,                0.37537,                 1.0151,                0.91574,                0.81665,                 0.8667,                0.64753,                 1.0114,                0.72221,                 1.4257,             0.00066371,             0.00066371,             0.00066371
                     63,                0.68849,                0.35379,                 1.0207,                 0.9084,                0.86183,                0.89703,                0.67691,                0.97975,                0.58321,                 1.3818,             0.00065638,             0.00065638,             0.00065638
                     64,                0.66705,                0.35461,                 1.0023,                0.92326,                 0.8778,                0.89424,                0.65376,                 1.0468,                0.67846,                 1.4354,             0.00064905,             0.00064905,             0.00064905
                     65,                0.67542,                0.35564,                0.99298,                0.87402,                0.83559,                0.88459,                0.64014,                 1.0665,                0.70719,                 1.4648,             0.00064171,             0.00064171,             0.00064171
                     66,                0.65964,                0.35548,                0.99891,                0.89067,                0.83042,                0.88444,                0.64051,                 1.0445,                0.66749,                 1.4503,             0.00063438,             0.00063438,             0.00063438
                     67,                0.66545,                 0.3516,                0.99081,                0.90773,                0.84062,                 0.8805,                0.63808,                  1.095,                0.74241,                 1.4904,             0.00062705,             0.00062705,             0.00062705
                     68,                0.64086,                 0.3349,                 0.9751,                0.88851,                0.85433,                0.86549,                0.64707,                 1.0521,                0.75133,                 1.4661,             0.00061972,             0.00061972,             0.00061972
                     69,                0.66026,                0.33873,                0.99738,                0.86745,                0.81833,                0.85179,                0.63755,                 1.0294,                 0.7848,                 1.4631,             0.00061238,             0.00061238,             0.00061238
                     70,                0.64407,                0.32907,                0.98886,                0.85341,                0.87713,                0.89324,                0.66127,                 1.0079,                0.66172,                 1.4236,             0.00060505,             0.00060505,             0.00060505
                     71,                0.66549,                0.34699,                0.98121,                0.88942,                0.81113,                0.88512,                 0.6662,                0.99782,                0.71761,                  1.391,             0.00059772,             0.00059772,             0.00059772
                     72,                  0.612,                0.32042,                0.96449,                0.90321,                0.80371,                0.87522,                0.66764,                0.98193,                0.75421,                  1.378,             0.00059039,             0.00059039,             0.00059039
                     73,                0.62371,                0.33955,                0.96843,                 0.9015,                0.81362,                0.85577,                0.62962,                  1.006,                0.82552,                 1.4408,             0.00058305,             0.00058305,             0.00058305
                     74,                0.63812,                0.34339,                 1.0126,                0.86498,                0.84848,                0.86686,                0.64157,                 1.0283,                0.81791,                 1.4669,             0.00057572,             0.00057572,             0.00057572
                     75,                0.65189,                0.37056,                 1.0075,                0.87151,                0.82645,                0.83846,                0.61685,                 1.0276,                0.78017,                 1.4546,             0.00056839,             0.00056839,             0.00056839
                     76,                0.60623,                0.32889,                0.97319,                0.86622,                 0.8755,                0.88784,                0.66128,                 1.0045,                0.64861,                  1.455,             0.00056105,             0.00056105,             0.00056105
                     77,                0.59293,                0.32174,                0.95764,                0.91715,                0.82656,                0.90258,                0.67676,                 1.0038,                0.65222,                 1.4533,             0.00055372,             0.00055372,             0.00055372
                     78,                0.60777,                0.32141,                0.96815,                0.87686,                0.86464,                 0.8945,                0.67911,                0.99696,                 0.6591,                 1.4517,             0.00054639,             0.00054639,             0.00054639
                     79,                0.61316,                0.32776,                0.97805,                0.88413,                0.83452,                0.87788,                0.66921,                 1.0048,                0.68759,                 1.4461,             0.00053906,             0.00053906,             0.00053906
                     80,                0.60462,                 0.3258,                0.95822,                0.85968,                0.88343,                0.89551,                0.66961,                 1.0372,                0.70294,                 1.4413,             0.00053172,             0.00053172,             0.00053172
                     81,                0.59105,                0.31372,                0.94307,                0.87095,                0.87242,                0.91107,                0.69038,                0.97628,                 0.6581,                 1.3842,             0.00052439,             0.00052439,             0.00052439
                     82,                0.59434,                0.30849,                0.96071,                0.88469,                0.86362,                0.91097,                0.68889,                 0.9635,                0.65805,                 1.3842,             0.00051706,             0.00051706,             0.00051706
                     83,                0.57954,                0.30604,                0.94022,                0.88316,                0.87851,                0.90526,                0.68344,                0.99018,                0.69513,                 1.4014,             0.00050973,             0.00050973,             0.00050973
                     84,                0.59774,                0.32261,                0.95785,                0.84078,                0.82567,                0.88175,                0.66431,                 1.0197,                0.77174,                 1.4628,             0.00050239,             0.00050239,             0.00050239
                     85,                0.59493,                0.31804,                0.96611,                0.87182,                0.86034,                0.89538,                0.66291,                 1.0327,                0.69616,                 1.4872,             0.00049506,             0.00049506,             0.00049506
                     86,                0.57433,                0.30326,                0.96087,                  0.855,                0.87433,                0.89022,                 0.6451,                 1.0526,                0.67909,                 1.5229,             0.00048773,             0.00048773,             0.00048773
                     87,                0.57311,                0.30708,                 0.9347,                0.82851,                0.87615,                0.88011,                0.64795,                 1.0514,                0.75104,                 1.5139,              0.0004804,              0.0004804,              0.0004804
                     88,                0.57128,                0.30806,                0.93262,                0.84901,                0.87534,                0.88154,                0.65398,                 1.0474,                0.75806,                 1.5149,             0.00047306,             0.00047306,             0.00047306
                     89,                0.56175,                0.29319,                0.94469,                0.82729,                0.86653,                0.87638,                0.65547,                 1.0205,                0.77641,                 1.4812,             0.00046573,             0.00046573,             0.00046573
                     90,                0.56217,                0.29957,                0.94026,                0.83317,                0.83482,                0.85359,                0.64463,                 1.0003,                0.83915,                 1.4387,              0.0004584,              0.0004584,              0.0004584
