                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6541,                 3.9918,                 1.7623,                 0.3747,                0.53333,                0.17444,                0.12829,                 1.1127,                 2.9025,                 1.3543,              5.555e-05,              5.555e-05,              5.555e-05
                      2,                 1.3627,                 2.3636,                 1.5165,                0.38221,                0.87484,                0.49356,                0.36862,                0.87737,                 5.7575,                   1.01,              0.0001214,              0.0001214,              0.0001214
                      3,                 1.0694,                 1.6557,                 1.2545,                0.38506,                0.72886,                0.57253,                  0.459,                0.78958,                 10.202,                 1.0677,             0.00018638,             0.00018638,             0.00018638
                      4,                 1.0317,                 1.2313,                 1.2395,                0.17957,                0.93333,                0.25313,                0.22745,                0.69606,                 21.936,                0.93117,             0.00025047,             0.00025047,             0.00025047
                      5,                0.98043,                 1.1324,                 1.1839,                0.55019,                0.83333,                0.55134,                0.46171,                0.70987,                 58.239,                0.96587,             0.00031368,             0.00031368,             0.00031368
                      6,                0.99548,                 1.0861,                 1.2349,                0.65167,                0.56667,                0.43096,                 0.3125,                 1.2147,                  10.93,                 1.3026,             0.00037602,             0.00037602,             0.00037602
                      7,                 1.0069,                 1.1051,                 1.2149,                 0.6152,                0.33333,                0.34989,                0.24487,                  1.456,                 122.48,                 1.3966,             0.00043747,             0.00043747,             0.00043747
                      8,                0.98291,                 1.0202,                 1.2219,                0.36124,                0.35655,                0.18902,                0.10694,                 2.5609,                 211.48,                 2.4889,             0.00049805,             0.00049805,             0.00049805
                      9,                0.98921,                0.91366,                 1.1642,                0.70809,                    0.1,                0.10837,                0.05569,                 2.5379,                 152.41,                 3.1416,             0.00055774,             0.00055774,             0.00055774
                     10,                0.89098,                0.89379,                 1.1422,                0.20766,                    0.1,                0.00709,                0.00161,                 2.9062,                 10.934,                 3.0213,             0.00061655,             0.00061655,             0.00061655
                     11,                0.87839,                0.87401,                 1.1197,                 0.3825,                0.46667,                0.16348,                0.05903,                 2.3787,                 9.3525,                 2.2812,             0.00067449,             0.00067449,             0.00067449
                     12,                 0.9655,                0.84485,                  1.157,                0.62474,                    0.1,                0.02779,                 0.0049,                 3.5792,                 48.448,                 4.6687,             0.00073154,             0.00073154,             0.00073154
                     13,                0.94465,                0.83219,                 1.1663,                0.39298,                0.27142,                 0.1542,                0.12625,                 1.3583,                 28.536,                  1.469,             0.00078772,             0.00078772,             0.00078772
                     14,                0.94631,                0.82445,                 1.1843,                0.48628,                0.71236,                  0.586,                0.46087,                0.80166,                 6.0086,                 1.0376,             0.00084301,             0.00084301,             0.00084301
                     15,                0.86759,                0.79193,                 1.1072,                0.48992,                0.53333,                0.53152,                0.43454,                0.83238,                 7.2745,                 1.1715,             0.00089743,             0.00089743,             0.00089743
                     16,                0.91628,                0.86491,                 1.1059,                0.27926,                0.75211,                0.41655,                0.36303,                0.82565,                 5.0189,                 1.1204,             0.00095096,             0.00095096,             0.00095096
                     17,                0.96884,                0.97162,                  1.183,                0.48487,                0.56667,                0.49163,                0.37738,                0.85093,                 4.8476,                 1.0237,             0.00099368,             0.00099368,             0.00099368
                     18,                0.88578,                0.92132,                 1.1189,                0.68633,                    0.6,                0.77114,                0.46298,                 1.4777,                 6.5813,                 1.6081,             0.00098635,             0.00098635,             0.00098635
                     19,                0.89895,                0.77701,                 1.1118,                0.59322,                0.86667,                0.79622,                0.42771,                 1.7504,                 8.9349,                 1.9131,             0.00097901,             0.00097901,             0.00097901
                     20,                0.88711,                0.75846,                 1.1153,                0.70532,                 0.6056,                0.74255,                 0.4303,                 1.6653,                  6.445,                 1.6724,             0.00097168,             0.00097168,             0.00097168
                     21,                0.94981,                 0.7799,                 1.1439,                0.46807,                0.68121,                0.61471,                0.44199,                 1.2112,                 6.8638,                 1.3545,             0.00096435,             0.00096435,             0.00096435
                     22,                0.91339,                 0.7961,                 1.1375,                0.58077,                0.06667,                0.06804,                0.04082,                 3.3178,                 21.302,                 3.4258,             0.00095702,             0.00095702,             0.00095702
                     23,                0.90289,                0.72512,                 1.1311,                0.85844,                0.23333,                0.33589,                0.22503,                 2.3193,                 3.0762,                 2.2083,             0.00094968,             0.00094968,             0.00094968
                     24,                0.86198,                0.72558,                 1.1672,                0.76682,                0.69429,                0.82553,                 0.6321,                 1.0734,                 2.3518,                 1.3216,             0.00094235,             0.00094235,             0.00094235
                     25,                0.82444,                0.68215,                 1.1265,                0.86502,                0.57501,                0.73657,                0.61441,                0.92064,                 2.3159,                 1.2692,             0.00093502,             0.00093502,             0.00093502
                     26,                0.81015,                0.66343,                 1.0818,                 0.5805,                0.69997,                0.68666,                0.56078,                0.99169,                 2.5122,                 1.2716,             0.00092769,             0.00092769,             0.00092769
                     27,                0.78459,                 0.6402,                 1.0729,                0.54839,                0.76667,                0.69468,                0.54673,                0.91938,                 1.8829,                 1.1547,             0.00092035,             0.00092035,             0.00092035
                     28,                0.83209,                 0.6464,                 1.0995,                0.83211,                    0.6,                0.72486,                0.61275,                0.86477,                 1.6945,                 1.2124,             0.00091302,             0.00091302,             0.00091302
                     29,                0.79878,                0.63851,                 1.0929,                0.88148,                0.58835,                 0.6546,                0.55161,                0.79929,                 1.6743,                 1.0833,             0.00090569,             0.00090569,             0.00090569
                     30,                0.79897,                0.65409,                 1.0876,                0.77355,                0.58506,                0.79815,                0.66306,                0.68208,                  3.226,                0.93192,             0.00089835,             0.00089835,             0.00089835
                     31,                0.78518,                0.65369,                 1.0863,                0.70627,                    0.7,                0.77617,                0.69812,                 0.5776,                  2.564,                0.91221,             0.00089102,             0.00089102,             0.00089102
                     32,                0.72091,                0.60587,                 1.0154,                0.88816,                0.77605,                0.92735,                 0.7757,                0.59364,                 1.3424,                0.90757,             0.00088369,             0.00088369,             0.00088369
                     33,                0.82469,                0.61549,                 1.0795,                0.71585,                0.74185,                0.86762,                0.72283,                  0.741,                 1.3692,                0.93634,             0.00087636,             0.00087636,             0.00087636
                     34,                0.72656,                  0.644,                 1.0342,                0.85321,                0.79139,                0.88655,                0.79731,                0.47719,                0.84031,                0.88332,             0.00086902,             0.00086902,             0.00086902
                     35,                 0.7542,                0.65504,                 1.0712,                0.76423,                0.51985,                0.58148,                0.49692,                0.63699,                 2.1568,                 0.9352,             0.00086169,             0.00086169,             0.00086169
                     36,                0.74752,                0.61256,                 1.0722,                0.72766,                0.86667,                0.81532,                0.57167,                 1.0107,                 1.2222,                0.99845,             0.00085436,             0.00085436,             0.00085436
                     37,                0.68845,                0.57667,                 1.0224,                0.74518,                0.93333,                0.79802,                0.71029,                0.59414,                 1.1229,                0.87476,             0.00084703,             0.00084703,             0.00084703
                     38,                0.67838,                 0.5635,                 1.0162,                 0.8997,                0.65228,                0.67793,                0.58165,                0.68792,                 1.8164,                0.96981,             0.00083969,             0.00083969,             0.00083969
                     39,                0.69851,                0.56566,                  1.036,                0.82635,                0.73333,                0.77264,                0.61675,                0.78452,                  1.679,                 1.0333,             0.00083236,             0.00083236,             0.00083236
                     40,                 0.6842,                0.51037,                 1.0555,                0.84819,                0.90859,                0.89784,                0.51136,                 1.6358,                 1.2978,                 1.4552,             0.00082503,             0.00082503,             0.00082503
                     41,                0.67262,                0.55194,                 1.0004,                0.87767,                0.84315,                0.92292,                0.70698,                0.99297,                0.96482,                 1.0861,              0.0008177,              0.0008177,              0.0008177
                     42,                 0.6683,                0.51502,                 1.0074,                0.88559,                0.93333,                0.89567,                0.77864,                 0.6138,                0.91349,                0.94584,             0.00081036,             0.00081036,             0.00081036
                     43,                0.68411,                0.52423,                 1.0343,                0.88917,                0.93143,                0.89567,                0.77084,                0.60885,                0.84291,                0.96433,             0.00080303,             0.00080303,             0.00080303
                     44,                0.65359,                0.49655,                 1.0366,                0.86586,                0.77218,                0.84348,                0.73523,                0.65953,                0.96029,                0.99786,              0.0007957,              0.0007957,              0.0007957
                     45,                0.72405,                 0.5446,                 1.0549,                 0.7712,                0.76667,                0.82383,                0.72291,                0.62708,                 1.1941,                0.98294,             0.00078837,             0.00078837,             0.00078837
                     46,                0.64671,                0.48409,                  1.005,                0.75853,                0.82116,                0.77016,                0.63819,                0.65188,                 1.2095,                0.97208,             0.00078103,             0.00078103,             0.00078103
                     47,                0.66096,                0.52591,                 1.0133,                0.74032,                0.79614,                0.82417,                0.66985,                0.67245,                 1.0673,                0.97771,              0.0007737,              0.0007737,              0.0007737
                     48,                0.69488,                0.53441,                 1.0147,                0.78966,                 0.6729,                 0.8966,                0.75945,                0.59555,                0.94712,                0.93137,             0.00076637,             0.00076637,             0.00076637
                     49,                0.67893,                0.50957,                 1.0345,                0.81253,                0.73454,                0.87917,                0.77749,                0.52024,                0.89562,                0.87485,             0.00075904,             0.00075904,             0.00075904
                     50,                0.63083,                0.47481,                0.98971,                0.78255,                0.76856,                0.84067,                0.74713,                0.54162,                 1.1159,                0.91984,              0.0007517,              0.0007517,              0.0007517
                     51,                0.64835,                0.46666,                 0.9632,                0.74599,                0.78233,                0.87553,                0.78748,                0.51196,                 1.1561,                0.92382,             0.00074437,             0.00074437,             0.00074437
                     52,                0.65781,                0.52846,                0.98913,                0.91743,                0.91684,                0.92867,                0.82623,                0.57182,                  0.666,                 0.9455,             0.00073704,             0.00073704,             0.00073704
                     53,                0.64971,                0.52779,                0.99095,                0.94093,                0.86805,                  0.995,                0.87635,                 0.5622,                0.60934,                0.96048,              0.0007297,              0.0007297,              0.0007297
                     54,                0.67479,                0.50824,                 1.0153,                0.76139,                0.89457,                 0.9686,                0.85318,                0.53962,                0.99883,                0.94766,             0.00072237,             0.00072237,             0.00072237
