                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5694,                 3.5721,                 1.8197,                0.15122,                0.52739,                0.16676,                0.11058,                 1.1358,                 3.2741,                 1.2887,             0.00012221,             0.00012221,             0.00012221
                      2,                 1.0418,                 1.9419,                  1.273,                0.13194,                0.54667,                0.19389,                0.14838,                0.88424,                 37.496,                 1.2009,             0.00025384,             0.00025384,             0.00025384
                      3,                0.99392,                 1.5583,                 1.2452,                0.24481,                0.74994,                0.53069,                0.43622,                0.89495,                 23.248,                 1.4973,             0.00038372,             0.00038372,             0.00038372
                      4,                0.91485,                 1.2169,                 1.2065,                0.44297,                0.38095,                0.42251,                0.32454,                 1.1074,                    inf,                 1.5269,             0.00051183,             0.00051183,             0.00051183
                      5,                 1.0916,                 1.3212,                 1.3013,                 0.0875,                0.25239,                0.09464,                0.05389,                 2.0124,                    inf,                 9.3883,             0.00063819,             0.00063819,             0.00063819
                      6,                 1.0006,                 1.1595,                 1.2791,                0.40556,                0.20952,                0.17133,                0.12722,                  1.176,                 154.53,                 1.9205,             0.00076278,             0.00076278,             0.00076278
                      7,                0.99749,                 1.0575,                 1.2494,                0.16115,                0.33651,                0.23322,                0.16469,                 1.4546,                 109.46,                 2.6263,             0.00088561,             0.00088561,             0.00088561
                      8,                0.99667,                 1.0993,                 1.3044,                0.19217,                0.39978,                0.17987,                0.10445,                 1.7839,                 114.96,                  2.605,              0.0010067,              0.0010067,              0.0010067
                      9,                 1.0292,                 1.2673,                 1.2896,                0.38113,                0.29365,                0.29131,                0.20676,                 1.3766,                 14.963,                 2.0499,              0.0010523,              0.0010523,              0.0010523
                     10,                0.99997,                 1.0549,                 1.2265,                0.32937,                0.43651,                0.33666,                0.23151,                 1.1794,                 10.028,                 1.7174,               0.001045,               0.001045,               0.001045
                     11,                 1.0079,                0.98348,                 1.2473,                0.39539,                0.18413,                0.26576,                0.20238,                 1.0267,                 5.9152,                 1.5839,              0.0010377,              0.0010377,              0.0010377
                     12,                0.99071,                0.89019,                 1.2399,                0.54913,                0.69049,                0.55517,                  0.404,                 1.1135,                  3.315,                 1.8017,              0.0010303,              0.0010303,              0.0010303
