epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.31791,0.7029,0.78917,1.04841,0.89589,0.86949,0.9274,0.82204,0.53747,0.5605,0.90315,0.000367814,0.000367814,0.000367814
2,8.6862,0.56391,0.35172,0.90857,0.97111,0.95238,0.98457,0.86887,0.60038,0.40158,0.95959,0.00073084,0.00073084,0.00073084
3,12.762,0.58129,0.35743,0.92219,0.98376,0.98324,0.99439,0.86588,0.66322,0.44515,0.97423,0.00108653,0.00108653,0.00108653
4,16.607,0.57032,0.37643,0.91331,0.98002,0.95513,0.99287,0.89458,0.53104,0.35807,0.90532,0.001078,0.001078,0.001078
5,20.5964,0.47968,0.33331,0.872,0.97416,0.91915,0.93856,0.8562,0.48438,0.37606,0.87851,0.001067,0.001067,0.001067
6,24.4909,0.46956,0.33629,0.86196,0.90955,1,0.995,0.91928,0.44665,0.37254,0.87654,0.00105601,0.00105601,0.00105601
7,28.4215,0.43477,0.29455,0.84848,0.97736,0.98419,0.99439,0.90323,0.47607,0.31318,0.87932,0.00104501,0.00104501,0.00104501
8,32.2762,0.39021,0.25061,0.82735,0.98042,0.98413,0.99305,0.91449,0.51975,0.29987,0.89177,0.00103401,0.00103401,0.00103401
9,36.1136,0.39731,0.26419,0.83048,0.96481,0.98413,0.99305,0.91824,0.48196,0.27613,0.90808,0.00102301,0.00102301,0.00102301
10,39.98,0.37946,0.26062,0.82056,0.98131,0.96825,0.98636,0.87111,0.6649,0.37088,1.02164,0.00101201,0.00101201,0.00101201
11,43.8676,0.39618,0.2551,0.82762,0.9944,0.98413,0.99439,0.90339,0.55172,0.28726,0.92831,0.00100101,0.00100101,0.00100101
12,47.7311,0.36661,0.23842,0.81562,0.9906,0.99837,0.995,0.92225,0.53853,0.29703,0.92436,0.000990012,0.000990012,0.000990012
