epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.88307,1.27547,1.36242,1.19907,0.13667,0.45556,0.1016,0.06173,1.33913,5.2662,1.10617,0.000656085,0.000656085,0.000656085
2,4.22174,1.16534,0.84405,1.14598,0.13667,0.45556,0.1016,0.06173,2.09643,106.195,1.67259,0.00130966,0.00130966,0.00130966
3,6.46085,1.1973,0.84773,1.16161,0.13667,0.45556,0.1016,0.06173,1.2172,7.69423,1.07971,0.00195003,0.00195003,0.00195003
4,8.64038,1.03927,0.75392,1.09891,0.12667,0.42222,0.09096,0.06992,1.08322,3.53089,0.99435,0.0019406,0.0019406,0.0019406
5,10.8305,1.1427,0.74871,1.15417,0.12667,0.42222,0.09096,0.06992,1.46865,65.4032,1.30104,0.0019208,0.0019208,0.0019208
6,13.0326,1.12832,0.65318,1.14561,0.73032,0.9629,0.89644,0.56726,1.28327,0.93212,1.10845,0.001901,0.001901,0.001901
7,15.2123,1.08761,0.63794,1.10519,0.26,0.86667,0.25614,0.17779,1.21521,1.41201,1.0923,0.0018812,0.0018812,0.0018812
8,17.2983,1.04411,0.58317,1.11109,0.94439,0.94348,0.97332,0.59275,1.37547,0.60653,1.17475,0.0018614,0.0018614,0.0018614
9,19.4705,1.02334,0.56758,1.07519,0.93898,0.97778,0.9778,0.70792,1.09556,0.61595,1.01545,0.0018416,0.0018416,0.0018416
10,21.6463,0.90164,0.54716,1.02632,0.91806,0.88889,0.94857,0.61688,1.21256,0.62784,1.06092,0.0018218,0.0018218,0.0018218
11,23.7592,0.92088,0.51944,1.02256,0.94294,0.96667,0.97021,0.63792,1.21321,0.56516,1.07174,0.001802,0.001802,0.001802
12,25.8625,0.84217,0.47229,0.98839,0.97378,0.93333,0.97424,0.67466,1.14834,0.49959,1.02634,0.0017822,0.0017822,0.0017822
13,27.9685,0.8237,0.44723,0.98743,0.94462,0.94762,0.97203,0.63416,1.31069,0.53122,1.16916,0.0017624,0.0017624,0.0017624
14,30.0663,0.80339,0.43897,0.97999,0.93635,0.96667,0.97157,0.59959,1.48294,0.55344,1.22668,0.0017426,0.0017426,0.0017426
15,32.1828,0.88937,0.45336,1.0192,0.98501,0.96667,0.98376,0.68317,1.22516,0.53356,1.13209,0.0017228,0.0017228,0.0017228
16,34.2761,0.87229,0.44729,1.013,0.99511,0.97778,0.98531,0.65918,1.24645,0.51593,1.13487,0.001703,0.001703,0.001703
17,36.3869,0.77912,0.42435,0.97114,0.9777,0.97419,0.97863,0.70848,1.16168,0.49901,1.02463,0.0016832,0.0016832,0.0016832
18,38.5623,0.75373,0.40656,0.9537,0.98435,0.97778,0.97882,0.64551,1.23888,0.49221,1.11603,0.0016634,0.0016634,0.0016634
19,40.6828,0.72851,0.39699,0.9387,1,0.97609,0.98349,0.64337,1.24776,0.4878,1.13269,0.0016436,0.0016436,0.0016436
20,42.7907,0.70167,0.38943,0.93188,0.98737,0.97778,0.98527,0.64941,1.27143,0.48876,1.10883,0.0016238,0.0016238,0.0016238
21,44.9141,0.71285,0.3883,0.93399,0.9864,0.97778,0.986,0.70792,1.09263,0.47197,1.0319,0.001604,0.001604,0.001604
22,47.1166,0.63852,0.36454,0.90147,0.98703,0.96667,0.98385,0.66016,1.31861,0.48487,1.11045,0.0015842,0.0015842,0.0015842
23,49.2496,0.60602,0.35558,0.89092,0.97606,0.96667,0.98562,0.70725,1.0899,0.4784,1.02287,0.0015644,0.0015644,0.0015644
